Date,Mkt-RF,SMB,HML
20161014,0.0001,-0.0039,0.0058
20161017,-0.0029,-0.0004,0.0016
20161018,0.006,-0.0017,0.0004
20161019,0.0025,0.0004,0.0094
20161020,-0.0016,-0.0003,-0.0012
20161021,0.0002,-0.0014,-0.0032
20161024,0.0054,0.0005,-0.0018
20161025,-0.0046,-0.0059,0.0022
20161026,-0.0023,-0.0085,0.0071
20161027,-0.0033,-0.0096,0.0056
20161028,-0.0029,-0.0011,0.0011
20161031,0.0002,0.0006,0.001
20161101,-0.0068,-0.0037,0.0019
20161102,-0.0073,-0.0064,0.0026
20161103,-0.004,-0.0047,0.0105
20161104,-0.0012,0.0087,-0.0044
20161107,0.0223,0.0019,-0.0012
20161108,0.004,-0.0008,-0.0023
20161109,0.0146,0.0189,0.0102
20161110,0.0032,0.0114,0.0182
20161111,0.0018,0.0252,-0.0001
20161114,0.0021,0.0063,0.0141
20161115,0.008,-0.0055,0.0015
20161116,-0.0012,0.0031,-0.0054
20161117,0.0056,0.0013,-0.0015
20161118,-0.0016,0.0056,0.0039
20161121,0.0077,-0.0026,0.0005
20161122,0.0031,0.0056,0.0053
20161123,0.0016,0.005,0.0019
20161125,0.004,-0.0006,-0.0029
20161128,-0.0064,-0.0075,0.0009
20161129,0.0011,-0.0035,-0.0006
20161130,-0.0025,-0.004,0.0221
20161201,-0.0036,-0.0065,0.0203
20161202,0,0.0004,-0.0033
20161205,0.0075,0.0108,0.0029
20161206,0.0048,0.0062,0.0022
20161207,0.0126,-0.0061,0.0049
20161208,0.0036,0.0115,0.0061
20161209,0.0046,-0.0027,0.0019
20161212,-0.003,-0.0096,-0.0013
20161213,0.006,-0.0053,-0.0026
20161214,-0.0082,-0.0037,-0.0029
20161215,0.0046,0.0038,0.003
20161216,-0.0022,0.0007,-0.0041
20161219,0.0022,0.0032,0.0008
20161220,0.0044,0.0042,0.0064
20161221,-0.0024,-0.0036,0.0021
20161222,-0.003,-0.0076,0.0026
20161223,0.0019,0.0057,-0.005
20161227,0.0027,0.0021,0.0014
20161228,-0.0087,-0.0027,0.0008
20161229,-0.0004,0.0015,-0.0033
20161230,-0.0052,-0.0012,0.002
20170103,0.0083,-0.0013,0.0005
20170104,0.0079,0.0095,-0.0016
20170105,-0.0021,-0.0088,-0.0079
20170106,0.0029,-0.0066,-0.0031
20170109,-0.0037,-0.0029,-0.0104
20170110,0.0016,0.0088,0.0044
20170111,0.0031,-0.0023,0.0066
20170112,-0.003,-0.0057,-0.0087
20170113,0.0029,0.0061,-0.0008
20170117,-0.0049,-0.0086,-0.0063
20170118,0.0024,0.0017,0.0024
20170119,-0.0038,-0.0051,-0.0004
20170120,0.0033,0.0006,0.002
20170123,-0.0029,-0.0003,-0.0032
20170124,0.0083,0.0071,0.0082
20170125,0.0084,0.0017,0.0044
20170126,-0.001,-0.0062,0.0041
20170127,-0.0012,0,-0.0068
20170130,-0.0068,-0.0072,-0.0046
20170131,0,0.0088,-0.0057
20170201,0.0003,-0.0008,0.0004
20170202,-0.0002,-0.0023,-0.0032
20170203,0.0082,0.0051,0.0075
20170206,-0.0027,-0.006,-0.002
20170207,-0.0001,-0.003,-0.0051
20170208,0.0006,-0.0023,-0.0059
20170209,0.0072,0.0068,0.0007
20170210,0.0038,0.004,0.0015
20170213,0.0049,-0.0032,0.0033
20170214,0.0045,-0.0024,0.0035
20170215,0.0054,0.0018,-0.0042
20170216,-0.0016,-0.0022,0.0001
20170217,0.002,0,-0.0054
20170221,0.006,-0.0001,0.0013
20170222,-0.0015,-0.0037,0.0011
20170223,-0.0011,-0.0065,0.0024
20170224,0.0015,0.0004,-0.0098
20170227,0.0022,0.0082,-0.0033
20170228,-0.0042,-0.0138,0.0016
20170301,0.0147,0.0042,0.0077
20170302,-0.007,-0.0052,-0.009
20170303,0.0009,-0.0022,0.0014
20170306,-0.0038,-0.0035,-0.0008
20170307,-0.0036,-0.0029,-0.0006
20170308,-0.0019,-0.0012,-0.0082
20170309,0.0004,-0.0047,-0.0023
20170310,0.0034,0.0009,-0.0047
20170313,0.0013,0.0032,-0.0006
20170314,-0.0036,-0.0023,-0.0001
20170315,0.0086,0.0071,-0.0046
20170316,-0.0006,0.0045,0.0023
20170317,-0.0008,0.0064,-0.0033
20170320,-0.0025,-0.0011,-0.0072
20170321,-0.0148,-0.0133,-0.0071
20170322,0.0016,-0.003,-0.0056
20170323,-0.0003,0.0069,0.0049
20170324,-0.0005,0.0013,-0.0021
20170327,-0.0005,0.0055,-0.0049
20170328,0.0072,-0.0015,0.0072
20170329,0.0018,0.0038,-0.0009
20170330,0.0036,0.0033,0.0092
20170331,-0.0016,0.0058,-0.0032
20170403,-0.0028,-0.011,-0.0008
20170404,0.0005,-0.0023,0.0032
20170405,-0.0044,-0.008,-0.003
20170406,0.0032,0.0067,0.0048
20170407,-0.0008,0.0012,-0.0026
20170410,0.0008,0.001,0.0007
20170411,-0.0005,0.008,0.0023
20170412,-0.0049,-0.0083,-0.0055
20170413,-0.0075,-0.0024,-0.0081
20170417,0.0089,0.0024,0.0024
20170418,-0.0025,0.0037,-0.0018
20170419,-0.0008,0.006,-0.0045
20170420,0.0083,0.0053,0.0026
20170421,-0.0028,0.0011,-0.0015
20170424,0.0118,0.0018,0.005
20170425,0.0065,0.0036,-0.0007
20170426,0.0004,0.0071,0.0031
20170427,0.0005,-0.0013,-0.0097
20170428,-0.003,-0.0069,-0.0061
20170501,0.0021,0.0026,-0.0012
20170502,0.0003,-0.0047,-0.0021
20170503,-0.0019,-0.0055,0.0021
20170504,0.0002,-0.0006,-0.0035
20170505,0.0046,0.0008,0
20170508,-0.0004,-0.0024,0.0026
20170509,-0.0005,0.005,-0.008
20170510,0.002,0.0019,0.0002
20170511,-0.0026,-0.0039,-0.0016
20170512,-0.0018,-0.003,-0.006
20170515,0.0053,0.0025,0.0021
20170516,-0.0003,0.0015,-0.0009
20170517,-0.0197,-0.0086,-0.006
20170518,0.004,0.0006,-0.0039
